Feature,Coefficient,AbsCoefficient,Direction,Modality
url_char::s.com,0.7509735171890133,0.7509735171890133,Phishing,URL
url_char::.ed,0.7319804189156027,0.7319804189156027,Phishing,URL
url_char::.edu,0.7319804189156027,0.7319804189156027,Phishing,URL
url_char::sto,0.6916426987912321,0.6916426987912321,Phishing,URL
url_char::com/,-2.839090208378383,2.839090208378383,Legitimate,URL
url_char::.com/,-2.839090208378383,2.839090208378383,Legitimate,URL
url_char::om/,-2.839090208378383,2.839090208378383,Legitimate,URL
url_char::.ga,-1.2786506298064306,1.2786506298064306,Legitimate,URL
url_char::.we,-1.2648822614204787,1.2648822614204787,Legitimate,URL
url_char::.cf,-1.1174899489045318,1.1174899489045318,Legitimate,URL
url_char::web,-1.02770976197638,1.02770976197638,Legitimate,URL
url_char::.to,-1.02410358907444,1.02410358907444,Legitimate,URL
url_char::.ml,-1.0095085013321399,1.0095085013321399,Legitimate,URL
url_char::.top,-0.9762454285934249,0.9762454285934249,Legitimate,URL
url_char::.web,-0.9299824542643537,0.9299824542643537,Legitimate,URL
url_char::co/,-0.9248536613587864,0.9248536613587864,Legitimate,URL
url_char::.li,-0.9099215867498023,0.9099215867498023,Legitimate,URL
url_char::htm,-0.8977749903750599,0.8977749903750599,Legitimate,URL
url_char::.co/,-0.8708469361509061,0.8708469361509061,Legitimate,URL
html_text::sign in,2.300605484123599,2.300605484123599,Phishing,Webpage
html_text::sign,1.8472160549386865,1.8472160549386865,Phishing,Webpage
html_text::banking,1.5807923759987967,1.5807923759987967,Phishing,Webpage
html_text::security,1.547030342230972,1.547030342230972,Phishing,Webpage
html_text::in to,1.5030997896799412,1.5030997896799412,Phishing,Webpage
html_text::paypal,1.502926670041386,1.502926670041386,Phishing,Webpage
html_text::id,1.2930636949003174,1.2930636949003174,Phishing,Webpage
html_text::credit,1.283739822547024,1.283739822547024,Phishing,Webpage
html_text::de,1.2676823982474603,1.2676823982474603,Phishing,Webpage
html_text::ログイン,1.2211938679263672,1.2211938679263672,Phishing,Webpage
html_text::card,1.1934009970834336,1.1934009970834336,Phishing,Webpage
html_text::steam,1.1785123771085992,1.1785123771085992,Phishing,Webpage
html_text::your account,1.110392973436543,1.110392973436543,Phishing,Webpage
html_text::para,1.047045084800851,1.047045084800851,Phishing,Webpage
html_text::warning,1.040255633049073,1.040255633049073,Phishing,Webpage
html_text::the,-2.37010378626574,2.37010378626574,Legitimate,Webpage
html_text::403 forbidden,-1.9648812586309656,1.9648812586309656,Legitimate,Webpage
html_text::forbidden,-1.9537898449527409,1.9537898449527409,Legitimate,Webpage
html_text::of,-1.9393949828105128,1.9393949828105128,Legitimate,Webpage
html_text::and,-1.8921030694587513,1.8921030694587513,Legitimate,Webpage
html_text::403,-1.8636720228706236,1.8636720228706236,Legitimate,Webpage
html_text::for,-1.7693882220092572,1.7693882220092572,Legitimate,Webpage
html_text::forbidden 403,-1.5869968163500605,1.5869968163500605,Legitimate,Webpage
html_text::to,-1.549741985708399,1.549741985708399,Legitimate,Webpage
html_text::new,-1.4476015574682874,1.4476015574682874,Legitimate,Webpage
html_text::are,-1.4228524487945904,1.4228524487945904,Legitimate,Webpage
html_text::from,-1.3773293930831176,1.3773293930831176,Legitimate,Webpage
html_text::reset,-1.367651505269134,1.367651505269134,Legitimate,Webpage
html_text::be,-1.3661335049502636,1.3661335049502636,Legitimate,Webpage
html_text::of the,-1.25242275080968,1.25242275080968,Legitimate,Webpage
